Page number, Caption                                                                            , Image Description
         52, Smart Database Display                                                             , The display shows functions of Smart Dialog Box
         52, Save Data in Smalrt Database                                                       , This dialog box shows the data that can be saved
         53, Details of User Record                                                             , This shows the various parts of the User Record that can be saved
         54, Form to Maintain Lessons Learnt                                                    , "In this form, User can write, modify and save lessions learnt"
         55, Information To Maintain at Quoting Stage and Manufacuring Stage                    , The dialog box shows the information saved in a record at quoting stage and at Manufacturing Stage
         56, Summary of Records in Smart Database                                               , This form shows the summary of records that are stored in Smart DB
         57, Search of Information in Smart Database                                            , This multi tab dialog box of Smart Database can be used to search various data saved in Smart Database
         58, Display of  Material Usage from Records of Smart Database                          , 
         59, Plot of Frequency of Usage of Materials From Smart Database                        , 
         59, Plot of Wire Usage from Search of Smart Database                                   , 
         60, Search of Usage of Forming Machines  in Smart Database                             , 
         60, Options of Search Related to Cost In Smart Database                                , 
         61, Image Shows Options Related to Tool Life Search in Smart Database                  , 
         61, Search of Lessons Learnt Using Smart Database                                      , 
         62, Sequence Design Search For a Part Using Records of Smart Database                  , 
         63, Image shows Part Search Capabilities of Smart Database                             , 
         64, Standard Tooling Components in Tool Design Module of NAGFORM                       , These images show the standard components  for which Tool Drawing can be readily Created in NAGFORM. These
           ,                                                                                    , standard components are used in Tooling Asseblies required for forming the wire or rod in stages in forming machines
           ,                                                                                    , ( Note: This whole Tool Design Module is now part of NAGTOOL Program. All Further improvements are being made
           ,                                                                                    , in NAGTOOL)
         65, Standard Tooling Components in Tool Design Module of NAGFORM                       , (Further Development in NAGTOOL)
         65, Image Displaying 'Auto Tool' Module of NAGFORM And Tool Bar                        , (Further Development in NAGTOOL)
           ,                                                                                    , (Further Development in NAGTOOL)
         65, Selection of Tool Component                                                        , (Further Development in NAGTOOL)
         66, Creating  Tool Component by Entering Dimensions                                    , (Further Development in NAGTOOL)
         66, Creating  Tool Component by Entering Dimensions                                    , (Further Development in NAGTOOL)
         67, Adding Constraints on Dimensions                                                   , (Further Development in NAGTOOL)
         68, Creating DXG Drawing from Tool Component Diemensions                               , (Further Development in NAGTOOL)
         69, Drawing Preference Dialog Box                                                      , (Further Development in NAGTOOL)
         70, Searching for Similar Tool Components                                              , (Further Development in NAGTOOL)
         70, Construction of External Tool Component                                            , (Further Development in NAGTOOL)
         71, Creating External DXF Tool                                                         , (Further Development in NAGTOOL)
         71, Procedure to Create External DXF Tool                                              , (Further Development in NAGTOOL)
         72, Setup for Constructing Tool Assemblies                                             , (Further Development in NAGTOOL)
         72, Setup for  Tool assembly                                                           , (Further Development in NAGTOOL)
         73, Procedure to Create Tool Assembly                                                  , (Further Development in NAGTOOL)
         74, Inserting Tool Components in Tool Assembly                                         , (Further Development in NAGTOOL)
         75, Commands to Facilitate Tool Assembly                                               , (Further Development in NAGTOOL)
         76, Selection of a Tool Component From a Group of Tools                                , (Further Development in NAGTOOL)
         76, Move a Tool Component From Current Position                                        , (Further Development in NAGTOOL)
         76, Create a Mirror Copy of a Tool Component                                           , (Further Development in NAGTOOL)
         77, Create a Dupilcate Copy of a Tool Compoment                                        , (Further Development in NAGTOOL)
         77, Rename a Tool Component                                                            , (Further Development in NAGTOOL)
         77, Draw a Tool With Hatch Lines                                                       , (Further Development in NAGTOOL)
         78, Show Coordinates of any Entity of the Tool                                         , (Further Development in NAGTOOL)
         78, Modify a Tool                                                                      , (Further Development in NAGTOOL)
         79, Appying a Constraint to Align a Tool  to Centerline of Tool Assembly               , (Further Development in NAGTOOL)
         79, Applying a Constraint to Align a Tool To Punch Face                                , (Further Development in NAGTOOL)
         79, Aligning a Tool To Punch Line                                                      , (Further Development in NAGTOOL)
         80, Mate Faces of Two Tools in Assembly                                                , (Further Development in NAGTOOL)
         80, Mate Faces of Two Tools in Assembly - Another Image                                , (Further Development in NAGTOOL)
         81, Equation Constraint Between a Tool and Other Tools in Assembly                     , (Further Development in NAGTOOL)
         81, An Example of The Equation Constraint                                              , (Further Development in NAGTOOL)
         82, Another Example of The Equation Constraint                                         , (Further Development in NAGTOOL)
         82, Another Example of Using Constraint Through Equation                               , (Further Development in NAGTOOL)
         82, Another Example of a Situation Where Equation Constraint is Applied                , (Further Development in NAGTOOL)
         83, Deleting a Constraint                                                              , (Further Development in NAGTOOL)
         83, Applying and Deleting Assenbly Dimensions                                          , (Further Development in NAGTOOL)
         84, Creating DXF Drawings of Assembly And Tools                                        , (Further Development in NAGTOOL)
         84, An Example of Tooling Assembly                                                     , (Further Development in NAGTOOL)
         85, Auto Design of Tooling From Part Progression - in Development                      , (Further Development in NAGTOOL)
         86, General Features - Preview of Part Geometry                                        , (Further Development in NAGTOOL)
         87, General Fatures: Part Library - has NAGFORM Part Models of Cold Forged Parts       , 
         87, General Features: Search Of Similar Parts                                          , 
         88, General Features: 6 Lobe External and Internal Primitives                          , 
         88, General Features: Adding Comments in Nagform                                       , 
         89, General Features: Rendering                                                        , 
         90, General Features: User's Database - Search of Similar Parts and Designs            , 
         90, General Features: Tool Design Help                                                 , 
         90, General Features: Multi Ring Assembly                                              , 
         91, General Features: Multi Ring Assembly ( Contd)                                     , 
         91, General Features: Interference Fit Calculations                                    , 
         93, Tech. Paper:  Create and Use a Historic Knowledge Database of Parts and Designs (1), 
         93, Tech. Paper:  Create and Use a Historic Knowledge Database of Parts and Designs (2), 
         97, Nagform Enhancements: Auto Design - Ball Type Heading Preform                      , 
         97, Nagform Enhancements: Auto Design - Example of Ball Type Heading Preform           , 
         98, Nagform Enhancements: Auto Design - Another Example of Ball Type Heading Preform   , 
         99, Nagform Enhancements: Auto Design - Auto Search of Similar Parts and Designs       , 
        100, Nagform Enhancements: Model -Floating Menu  (Example 1)                            , 
        100, Nagform Enhancements: Model -Floating Menu  (Example 2)                            , 
        101, Nagform Enhancements: Model -Floating Menu  (Example 3)                            , 
        101, Nagform Enhancements: Floating Menu in Auto Design                                 , 
        102, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 1)      , 
        103, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 2)      , 
        103, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 3)      , 
        103, Nagform Enhancements: Design By Command - Graphical Input and Design (Image 4)     , 
        104, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 5)      , 
        104, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 6)      , 
        104, Nagform Enhancements: Design By Command - Graphical Input and Design (Image 7)     , 
        105, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 8)      , 
        105, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 9)      , 
        105, Nagform Enhancements: Design By Command - Graphical Input and Design (Image10)     , 
        106, Nagform Enhancements: Design By Command - Graphical Input and Design(Image 11)     , 
        106, Nagform Enhancements: Design By Command - Graphical Input and Design (Image12)     , 
        106, Nagform Enhancements: Surface Area Calculations                                    , 
        107, Nagform Enhancements: Other Improvement                                            , 
        107, Nagform Enhancements: Integration with NAGSIM.2D / 3D                              , 
