image_path,description
NAGFORM_MANUAL_page_27_img_1.png,"Selecting Automatic Design for a Specific Header Machine"
NAGFORM_MANUAL_page_28_img_1.png,"Creation of Default Tooling for a Sequence Design"
NAGFORM_MANUAL_page_28_img_2.png,"Creation of Analysis File for Simulation in NAGSIM.2D"
NAGFORM_MANUAL_page_29_img_1.png,"Dialog Box for Maintaining a Database of Available Forging Machines"
NAGFORM_MANUAL_page_30_img_1.png,"Form to Store Pertinent Information of Forging Machine"
NAGFORM_MANUAL_page_30_img_2.png,"Form to Store Pertinent Information of Forging Machine"
NAGFORM_MANUAL_page_31_img_1.png,"Display of Design Helper Selection"
NAGFORM_MANUAL_page_31_img_2.png,"Display of Design Helper Selection"
NAGFORM_MANUAL_page_32_img_1.png,"Design Helper Form Displaying All Methods to Get Designs"
NAGFORM_MANUAL_page_33_img_1.png,"Display of Results of Methods Used to Get Designs"
NAGFORM_MANUAL_page_33_img_2.png,"Design Helper Form To Reduce Number of Sequence Designs"
NAGFORM_MANUAL_page_34_img_1.png,"Blank Size And Weight Calculation"
NAGFORM_MANUAL_page_34_img_2.png,"Design Helper Form To Reduce Number of Operations"
NAGFORM_MANUAL_page_36_img_1.png,"Method of Creating a Model of the Part"
NAGFORM_MANUAL_page_38_img_1.png,"Designing Forming Sequences Using the Part Model"
NAGFORM_MANUAL_page_39_img_1.png,"Manual Design Set Up Form"
NAGFORM_MANUAL_page_40_img_1.png,"Form for Manual Design Modifications"
NAGFORM_MANUAL_page_41_img_1.png,"Manual Design Using 'Design by Command'"
NAGFORM_MANUAL_page_42_img_1.png,"Design by Command Setup Form"
NAGFORM_MANUAL_page_43_img_1.png,"Design by Command Main Dialog Box"
NAGFORM_MANUAL_page_43_img_2.png,"Design by Command Main Dialog Box"
NAGFORM_MANUAL_page_45_img_1.png,"New File Dialog Box"
NAGFORM_MANUAL_page_45_img_2.png,"Dialog Box showing saved representative part files and their Session files"
NAGFORM_MANUAL_page_46_img_1.png,"Example part for Sequence Design using Design by Command"
NAGFORM_MANUAL_page_46_img_2.png,"Similar Part for Which Session File of Desired Design is Available"
NAGFORM_MANUAL_page_47_img_1.png,"Figure 5 Displaying the Contents of Selected Session File"
NAGFORM_MANUAL_page_51_img_1.png,"Pictures shows Display of Information from Smart Database"
NAGFORM_MANUAL_page_51_img_2.png,"Pictures shows Display of Information from Smart Database"
NAGFORM_MANUAL_page_51_img_3.png,"Pictures shows Display of Information from Smart Database"
NAGFORM_MANUAL_page_51_img_4.png,"Pictures shows Display of Information from Smart Database"
NAGFORM_MANUAL_page_51_img_5.png,"Pictures shows Display of Information from Smart Database"
NAGFORM_MANUAL_page_51_img_6.png,"Pictures shows Display of Information from Smart Database"
NAGFORM_MANUAL_page_51_img_7.png,"Pictures shows Display of Information from Smart Database"
NAGFORM_MANUAL_page_52_img_1.png,"Starting Smart Database"
NAGFORM_MANUAL_page_52_img_2.png,"Save Data in Smart Database"
NAGFORM_MANUAL_page_52_img_3.png,"Smart Database Display"
NAGFORM_MANUAL_page_53_img_1.png,"Details of User Record"
NAGFORM_MANUAL_page_54_img_1.png,"Form to Maintain Lessons Learnt"
NAGFORM_MANUAL_page_55_img_1.png,"Information To Maintain at Quoting Stage and Manufacuring Stage"
NAGFORM_MANUAL_page_56_img_1.png,"Summary of Records in Smart Database"
NAGFORM_MANUAL_page_57_img_1.png,"Search of Information in Smart Database"
NAGFORM_MANUAL_page_58_img_1.png,"Display of Material Usage from Records of Smart Database"
NAGFORM_MANUAL_page_59_img_1.png,"Plot of Frequency of Usage of Materials From Smart Database"
NAGFORM_MANUAL_page_59_img_2.png,"Plot of Wire Usage from Search of Smart Database"
NAGFORM_MANUAL_page_60_img_1.png,"Search of Usage of Forming Machines  in Smart Database"
NAGFORM_MANUAL_page_60_img_2.png,"Options of Search Related to Cost In Smart Database"
NAGFORM_MANUAL_page_61_img_1.png,"Image Shows Options Related to Tool Life Search in Smart Database"
NAGFORM_MANUAL_page_61_img_2.png,"Search of Lessons Learnt Using Smart Database"
NAGFORM_MANUAL_page_62_img_1.png,"Sequence Design Search For a Part Using Records of Smart Database"
NAGFORM_MANUAL_page_62_img_2.png,"Image shows Part Search Capabilities of Smart Database"
NAGFORM_MANUAL_page_64_img_1.png,"Standard Tooling Components in Tool Design Module of NAGFORM"
NAGFORM_MANUAL_page_64_img_2.png,"Standard Tooling Components in Tool Design Module of NAGFORM"
NAGFORM_MANUAL_page_64_img_3.png,"Standard Tooling Components in Tool Design Module of NAGFORM"
NAGFORM_MANUAL_page_64_img_4.png,"Standard Tooling Components in Tool Design Module of NAGFORM"
NAGFORM_MANUAL_page_64_img_5.png,"Standard Tooling Components in Tool Design Module of NAGFORM"
NAGFORM_MANUAL_page_64_img_6.png,"Standard Tooling Components in Tool Design Module of NAGFORM"
NAGFORM_MANUAL_page_65_img_1.png,"Standard Tooling Components in Tool Design Module of NAGFORM"
NAGFORM_MANUAL_page_65_img_2.png,"Image Displaying 'Auto Tool' Module of NAGFORM And Tool Bar"
NAGFORM_MANUAL_page_65_img_3.png,"Selection of Tool Component"
NAGFORM_MANUAL_page_66_img_1.png,"Creating  Tool Component by Entering Dimensions"
NAGFORM_MANUAL_page_66_img_2.png,"Creating  Tool Component by Entering Dimensions"
NAGFORM_MANUAL_page_67_img_1.png,"Adding Constraints on Dimensions"
NAGFORM_MANUAL_page_68_img_1.png,"Creating DXG Drawing from Tool Component Diemensions"
NAGFORM_MANUAL_page_69_img_1.png,"Drawing Preference Dialog Box"
NAGFORM_MANUAL_page_70_img_1.png,"Searching for Similar Tool Components"
NAGFORM_MANUAL_page_70_img_2.png,"Construction of External Tool Component"
NAGFORM_MANUAL_page_71_img_1.png,"Creating External DXF Tool"
NAGFORM_MANUAL_page_71_img_2.png,"Procedure to Create External DXF Tool"
NAGFORM_MANUAL_page_72_img_1.png,"Setup for Constructing Tool Assemblies"
NAGFORM_MANUAL_page_72_img_2.png,"Setup for Tool assembly"
NAGFORM_MANUAL_page_73_img_1.png,"Procedure to Create Tool Assembly"
NAGFORM_MANUAL_page_74_img_1.png,"Inserting Tool Components in Tool Assembly"
NAGFORM_MANUAL_page_74_img_2.png,"Inserting Tool Components in Tool Assembly"
NAGFORM_MANUAL_page_75_img_1.png,"Commands to Facilitate Tool Assembly"
NAGFORM_MANUAL_page_76_img_1.png,"Selection of a Tool Component From a Group of Tools"
NAGFORM_MANUAL_page_76_img_2.png,"Move a Tool Component From Current Position"
NAGFORM_MANUAL_page_76_img_3.png,"Create a Mirror Copy of a Tool Component"
NAGFORM_MANUAL_page_77_img_1.png,"Create a Dupilcate Copy of a Tool Compoment"
NAGFORM_MANUAL_page_77_img_2.png,"Rename a Tool Component"
NAGFORM_MANUAL_page_77_img_3.png,"Draw a Tool With Hatch Lines"
NAGFORM_MANUAL_page_78_img_1.png,"Show Coordinates of any Entity of the Tool"
NAGFORM_MANUAL_page_78_img_2.png,"Modify a Tool"
NAGFORM_MANUAL_page_79_img_1.png,"Appying a Constraint to Align a Tool  to Centerline of Tool Assembly"
NAGFORM_MANUAL_page_79_img_2.png,"Applying a Constraint to Align a Tool To Punch Face"
NAGFORM_MANUAL_page_79_img_3.png,"Aligning a Tool To Punch Line"
NAGFORM_MANUAL_page_79_img_4.png,"Aligning a Tool To Punch Line"
NAGFORM_MANUAL_page_80_img_1.png,"Mate Faces of Two Tools in Assembly"
NAGFORM_MANUAL_page_80_img_2.png,"Mate Faces of Two Tools in Assembly - Another Image"
NAGFORM_MANUAL_page_81_img_1.png,"Equation Constraint Between a Tool and Other Tools in Assembly"
NAGFORM_MANUAL_page_81_img_2.png,"An Example of The Equation Constraint"
NAGFORM_MANUAL_page_82_img_1.png,"Another Example of The Equation Constraint"
NAGFORM_MANUAL_page_82_img_2.png,"Another Example of Using Constraint Through Equation"
NAGFORM_MANUAL_page_82_img_3.png,"Another Example of a Situation Where Equation Constraint is Applied"
NAGFORM_MANUAL_page_82_img_4.png,"Another Example of a Situation Where Equation Constraint is Applied"
NAGFORM_MANUAL_page_83_img_1.png,"Deleting a Constraint"
NAGFORM_MANUAL_page_83_img_2.png,"Applying and Deleting Assenbly Dimensions"
NAGFORM_MANUAL_page_84_img_1.png,"Creating DXF Drawings of Assembly And Tools"
NAGFORM_MANUAL_page_84_img_2.png,"An Example of Tooling Assembly"
NAGFORM_MANUAL_page_85_img_1.png,"Auto Design of Tooling From Part Progression - in Development"
NAGFORM_MANUAL_page_86_img_1.png,"General Features - Preview of Part Geometry"
NAGFORM_MANUAL_page_86_img_2.png,"General Features - Preview of Part Geometry"
NAGFORM_MANUAL_page_87_img_1.png,"General Fatures: Part Library - has NAGFORM Part Models of Cold Forged Parts"
NAGFORM_MANUAL_page_87_img_2.png,"General Features: Search Of Similar Parts"
NAGFORM_MANUAL_page_88_img_1.png,"General Features: 6 Lobe External and Internal Primitives"
NAGFORM_MANUAL_page_88_img_2.png,"General Features: Adding Comments in Nagform"
NAGFORM_MANUAL_page_89_img_1.png,"General Features: Rendering"
NAGFORM_MANUAL_page_90_img_1.png,"General Features: User's Database - Search of Similar Parts and Designs"
NAGFORM_MANUAL_page_90_img_2.png,"General Features: Tool Design Help"
NAGFORM_MANUAL_page_90_img_3.png,"General Features: Multi Ring Assembly"
NAGFORM_MANUAL_page_91_img_1.png,"General Features: Multi Ring Assembly (Contd.)"
NAGFORM_MANUAL_page_91_img_2.png,"General Features: Interference Fit Calculations"
NAGFORM_MANUAL_page_93_img_1.png,"Tech. Paper:  Create and Use a Historic Knowledge Database of Parts and Designs (1)"
NAGFORM_MANUAL_page_93_img_2.png,"Tech. Paper:  Create and Use a Historic Knowledge Database of Parts and Designs (2)"
NAGFORM_MANUAL_page_94_img_1.png,""
NAGFORM_MANUAL_page_94_img_2.png,""
NAGFORM_MANUAL_page_97_img_1.png,"Nagform Enhancements: Auto Design - Ball Type Heading Preform"
NAGFORM_MANUAL_page_97_img_2.png,"Nagform Enhancements: Auto Design - Example of Ball Type Heading Preform"
NAGFORM_MANUAL_page_98_img_1.png,"Nagform Enhancements: Auto Design - Another Example of Ball Type Heading Preform"
NAGFORM_MANUAL_page_99_img_1.png,"Nagform Enhancements: Auto Design - Auto Search of Similar Parts and Designs"
NAGFORM_MANUAL_page_100_img_1.png,"Nagform Enhancements: Model -Floating Menu  (Example 1)"
NAGFORM_MANUAL_page_100_img_2.png,"Nagform Enhancements: Model -Floating Menu  (Example 2)"
NAGFORM_MANUAL_page_100_img_3.png,""
NAGFORM_MANUAL_page_101_img_1.png,"Nagform Enhancements: Model -Floating Menu  (Example 3)"
NAGFORM_MANUAL_page_101_img_2.png,"Nagform Enhancements: Floating Menu in Auto Design"
NAGFORM_MANUAL_page_102_img_1.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 1)"
NAGFORM_MANUAL_page_103_img_1.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 2)"
NAGFORM_MANUAL_page_103_img_2.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 3)"
NAGFORM_MANUAL_page_103_img_3.png,"Nagform Enhancements: Design By Command - Graphical Input and Design (Image 4)"
NAGFORM_MANUAL_page_104_img_1.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 5)"
NAGFORM_MANUAL_page_104_img_2.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 6)"
NAGFORM_MANUAL_page_104_img_3.png,"Nagform Enhancements: Design By Command - Graphical Input and Design (Image 7)"
NAGFORM_MANUAL_page_105_img_1.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 8)"
NAGFORM_MANUAL_page_105_img_2.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 9)"
NAGFORM_MANUAL_page_105_img_3.png,"Nagform Enhancements: Design By Command - Graphical Input and Design (Image10)"
NAGFORM_MANUAL_page_106_img_1.png,"Nagform Enhancements: Design By Command - Graphical Input and Design(Image 11)"
NAGFORM_MANUAL_page_106_img_2.png,"Nagform Enhancements: Design By Command - Graphical Input and Design (Image12)"
NAGFORM_MANUAL_page_106_img_3.png,"Nagform Enhancements: Surface Area Calculations"
NAGFORM_MANUAL_page_106_img_4.png,""
NAGFORM_MANUAL_page_107_img_1.png,"Nagform Enhancements: Other Improvement"
NAGFORM_MANUAL_page_107_img_2.png,""
NAGFORM_MANUAL_page_107_img_3.png,""
NAGFORM_MANUAL_page_107_img_4.png,""
NAGFORM_MANUAL_page_107_img_5.png,""
NAGFORM_MANUAL_page_107_img_6.png,""
NAGFORM_MANUAL_page_107_img_7.png,"Nagform Enhancements: Integration with NAGSIM.2D / 3D"
